id,rating,title,review,nickname,appVersion,lastModified,helpfulViews,totalViews
11876037662,1,背单词优化,背单词界面1添加返回上一个单词选项不然点错了没法修改2每天记的单词能打乱顺序3背单词页面能跳转到单词详情页看到评论方便记忆，都研发背单词功能了可以用心点做吗拜托🥺钱都交了 别再搞一些乱七八糟的花活了把基础设施做好，能做到吧？小moji爱你爱你,娜美那么美aaaaaaaaaaa,8.5.0,1729929079000,0,0
11873571315,1,可以版本回退吗？,新版官方标日单词表比之前的词汇量还要少，而且以前收藏的词单全消失了。这次更新到底是谁搞的？能不能版本回退？,千山丨暮雪,8.5.0,1729870242000,0,0
11883194372,1,客服差劲,问个问题排队半天我忍了，问题问了没两句话，也没解决问题就直接消失不理人了。日本工匠精神你们学的是真的好啊。,CierceZ,8.5.1,1730086843000,0,0
3571276135,1,更新后超级不爽,首先升级后登录的账号没有了，各种登录都没用总是提示账号或密码错误，账号密码都没问题，然后我试了试找回密码，更是没用卵用，根本不会往邮箱里发信息，试了几十遍，都登录不上去，最后试了注册账号，结果我的账号密码注册了之后证实我之前输入的没错，连名字都是一样的，也是升级版的VIP、可是，我之前储存的大量有用单词却都没有了，什么破玩意，以前一直很喜欢这个软件，这几天真的是伤心死，别的不心疼，我心疼我的收藏里的内容,宇夕佳佳,5.0.0,1545744502000,0,0
6793997933,1,更新之后默认把开通会员的选项放在最前面 牛的,搞不懂怎么好意思把预测放在会员第一个卖点 明明比起意译优先查找汉字怎么就敢吹自己的预测呢 还有那个装模作样的广告净化 真想净化可以向苹果备案一下直接一刀切 别走视频软件的路子,mmmengying,6.6.0,1608951208000,1,1
2522132302,1,越来越差的软件,因为想要有收藏功能还买了收费版的，但是最近收藏的单词都莫名消失了，标签上的笔记也不见了，用了这个软件好几个月了，软件本身存在发音不标准问题！汉字和假名注音不匹配问题！因为用惯也就容忍着，现在连收藏功能都变差了！好多不收费的软件都有收藏测试的功能，所以对你只能是差评了再见,这罪名判处无期徒刑,2.4.1,1525833354000,0,0
5555013332,1,价格不合理,收藏词语都开始搞收费了，明明只是一个字典。。。想盈利可以理解，但是你一上来就25元收费也太过分了点吧？对于一些人来说，这个软件的大部分作用就是查单词而已，其他功能根本没用。希望价格合理点。如果想要收费那么贵，不如就和背单词的程序结合在一呗，根据记忆曲线安排好每日背诵的量，实现每日打卡。,禾禾禾禾禾壳,6.0.7,1582175983000,0,0
1464747350,1,发音错误很多，广告推送太频繁,发音与内容不一致的情况很常见，释义的错误情况也很多，比如没有中文释义，所有释义都挤进词性里面。想认真学习日语的话不要用这个，已经换成有版权的词典了。另外，最近广告推送开始增多，已经购买了内购，仍然每天不断的推送开发商的广告，无法关掉，让人心烦。,苦蔫,1.4.0,1476168525000,0,0
5460393704,1,辣鸡 千万别更新,更新前也不提示用户备份好搜索记录收藏数据，结果一更新以前的搜索记录全没了，收藏还要移植什么花里胡哨的界面恶心死了，现在单词搜索后都不能自动加入收藏夹还要手动点好几层菜单真特么烦啊,1293kan,6.0.1,1580260836000,1,1
5773324448,1,更新的版本真的不顺手,"以前直接回车就可以到搜索页面了，现在还要点网页在搜索，而且想回到单词又还要再按单词。
本来平时查单词就是很匆忙的情况现在改了太不方便了。
还有更新的时候一下子就把收藏的都给我整没了，以前好好的好多单词都没有了！
而且现在下拉的收藏一点都不方便。
真心不要发现和测试单词的专门界面，自己一个人静静的查字典不好么。",PK你好多哦,6.0.10,1586219194000,1,1
7142080673,1,新版太难用了,"希望和你们的程序员反应一下，能提供一个退回原来版本的选项。首先我之前收藏的词都没了，其次输入词查询第二个词的时候之前会自动删除第一个词，现在还得手动删除，然后崩溃率也很高……哭了啊

服了，我买过会员现在更新又要会员？不买词都不能查？你们是不是老板买基金亏惨了",澜沧江6982,6.7.1,1616658827000,3,3
7122587109,1,这几年软件体验越来越差,花里胡哨的东西不断增加，辞典软件要变社交软件吗？请增加设定能不显示热搜、不显示他人图标等所有和搜索无关的内容，并还原搜索框为空时显示历史搜索记录且直接显示读音等内容！,mmqmxsg,6.7.1,1616212679000,2,2
